select state, p_date, sum(newcomer) as newcomer, sum(freshout) as freshout from payments group by state, p_date order by state, p_date;
+-------+------------+----------+----------+
| state | p_date     | newcomer | freshout |
| AP    | 2016-02-01 |       42 |     -671 |
| AP    | 2016-03-01 |      922 |     -239 |
| AP    | 2016-04-01 |      204 |     -268 |
| AP    | 2016-05-01 |       60 |     -383 |
| AP    | 2016-06-01 |      161 |     -869 |
| AP    | 2016-07-01 |      932 |     -266 |
| AP    | 2016-08-01 |       64 |    -1292 |
| AP    | 2016-09-01 |     1829 |     -413 |
| AP    | 2016-10-01 |       53 |    -1612 |
| AP    | 2016-11-01 |      121 |     -629 |
| AP    | 2016-12-01 |      828 |    -1455 |
| AP    | 2017-01-01 |     3323 |     -266 |
| AP    | 2017-02-01 |      517 |   -65979 |
| BA    | 2011-01-01 |  1673177 |   -12330 |
| BA    | 2011-02-01 |     3532 |    -2803 |
| BA    | 2011-03-01 |    15654 |    -2616 |
| BA    | 2011-04-01 |     6670 |    -8028 |
| BA    | 2011-05-01 |     2749 |    -3864 |
| BA    | 2011-06-01 |     3366 |    -4055 |
| BA    | 2011-07-01 |     3797 |   -28006 |
| BA    | 2011-08-01 |    56364 |    -4022 |
| BA    | 2011-09-01 |    54480 |    -7907 |
| BA    | 2011-10-01 |    12298 |    -6098 |
| BA    | 2011-11-01 |    25158 |    -4568 |
| BA    | 2011-12-01 |    12991 |   -15218 |
| BA    | 2012-01-01 |    20431 |    -5490 |
| BA    | 2012-02-01 |    12532 |    -8921 |
| BA    | 2012-03-01 |     5609 |    -8258 |
| BA    | 2012-04-01 |    17568 |   -23829 |
| BA    | 2012-05-01 |    55060 |    -8617 |
| BA    | 2012-06-01 |     4093 |    -5650 |
| BA    | 2012-07-01 |    15258 |    -5374 |
| BA    | 2012-08-01 |    13575 |    -9079 |
| BA    | 2012-09-01 |     3290 |    -2990 |
| BA    | 2012-10-01 |     4532 |    -1880 |
| BA    | 2012-11-01 |     5159 |    -1486 |
| BA    | 2012-12-01 |     4258 |   -10399 |
| BA    | 2013-01-01 |     5529 |   -16170 |
| BA    | 2013-02-01 |     1420 |    -6829 |
| BA    | 2013-03-01 |    24978 |   -49327 |
| BA    | 2013-04-01 |    38786 |   -55461 |
| BA    | 2013-05-01 |    58962 |   -24300 |
| BA    | 2013-06-01 |     7359 |    -3762 |
| BA    | 2013-07-01 |    27356 |   -11901 |
| BA    | 2013-08-01 |    25976 |    -6698 |
| BA    | 2013-09-01 |    14860 |    -4431 |
| BA    | 2013-10-01 |     3793 |   -12997 |
| BA    | 2013-11-01 |     7770 |    -5696 |
| BA    | 2013-12-01 |    27818 |   -10150 |
| BA    | 2014-01-01 |     9124 |    -7492 |
| BA    | 2014-02-01 |     7235 |   -26822 |
| BA    | 2014-03-01 |    34107 |    -8001 |
| BA    | 2014-04-01 |    22118 |   -21852 |
| BA    | 2014-05-01 |    13321 |    -5691 |
| BA    | 2014-06-01 |    21667 |   -22753 |
| BA    | 2014-07-01 |    61376 |   -20448 |
| BA    | 2014-08-01 |     4388 |    -4453 |
| BA    | 2014-09-01 |     4729 |    -4044 |
| BA    | 2014-10-01 |     3035 |    -3063 |
| BA    | 2014-11-01 |     3354 |    -6965 |
| BA    | 2014-12-01 |     2833 |    -4110 |
| BA    | 2015-01-01 |     1488 |    -3231 |
| BA    | 2015-02-01 |     2479 |    -4040 |
| BA    | 2015-03-01 |     1531 |   -26964 |
| BA    | 2015-04-01 |    17464 |    -3490 |
| BA    | 2015-05-01 |     1444 |    -9440 |
| BA    | 2015-06-01 |     3978 |    -5533 |
| BA    | 2015-07-01 |    12902 |    -6354 |
| BA    | 2015-08-01 |     3108 |   -27236 |
| BA    | 2015-09-01 |    29164 |   -37129 |
| BA    | 2015-10-01 |    39487 |   -39058 |
| BA    | 2015-11-01 |    27502 |   -10631 |
| BA    | 2015-12-01 |    19423 |   -40154 |
| BA    | 2016-01-01 |    76706 |    -3093 |
| BA    | 2016-02-01 |     1290 |   -26628 |
| BA    | 2016-03-01 |    27970 |    -7646 |
| BA    | 2016-04-01 |     8759 |    -8516 |
| BA    | 2016-05-01 |     2244 |   -11159 |
| BA    | 2016-06-01 |     6748 |   -15772 |
| BA    | 2016-07-01 |    15797 |    -9322 |
| BA    | 2016-08-01 |     1955 |   -56718 |
| BA    | 2016-09-01 |    41963 |   -13416 |
| BA    | 2016-10-01 |     5515 |   -60003 |
| BA    | 2016-11-01 |     7142 |   -27397 |
| BA    | 2016-12-01 |    16492 |   -51263 |
| BA    | 2017-01-01 |    48423 |    -8058 |
| BA    | 2017-02-01 |     8402 | -1804151 |
| CE    | 2011-01-01 |  1021348 |    -8780 |
| CE    | 2011-02-01 |    38782 |    -1904 |
| CE    | 2011-03-01 |     4311 |    -1209 |
| CE    | 2011-04-01 |     6981 |   -10324 |
| CE    | 2011-05-01 |     1517 |    -2106 |
| CE    | 2011-06-01 |     1521 |    -2478 |
| CE    | 2011-07-01 |     2352 |   -15516 |
| CE    | 2011-08-01 |    14554 |    -2910 |
| CE    | 2011-09-01 |    28436 |    -5601 |
| CE    | 2011-10-01 |     4056 |    -3336 |
| CE    | 2011-11-01 |    20741 |    -2301 |
| CE    | 2011-12-01 |     7673 |   -10708 |
| CE    | 2012-01-01 |    12230 |    -3792 |
| CE    | 2012-02-01 |     7386 |    -5055 |
| CE    | 2012-03-01 |     3274 |    -5054 |
| CE    | 2012-04-01 |     8579 |   -11665 |
| CE    | 2012-05-01 |    34985 |    -6071 |
| CE    | 2012-06-01 |     2141 |    -3834 |
| CE    | 2012-07-01 |     7607 |    -4920 |
| CE    | 2012-08-01 |     7892 |    -5079 |
| CE    | 2012-09-01 |     1859 |    -2103 |
| CE    | 2012-10-01 |     2574 |    -1611 |
| CE    | 2012-11-01 |     3913 |    -1480 |
| CE    | 2012-12-01 |     3353 |    -7094 |
| CE    | 2013-01-01 |     3861 |   -13269 |
| CE    | 2013-02-01 |      907 |    -4538 |
| CE    | 2013-03-01 |    10498 |   -35971 |
| CE    | 2013-04-01 |    30168 |   -32810 |
| CE    | 2013-05-01 |    32369 |   -13484 |
| CE    | 2013-06-01 |     4425 |    -1891 |
| CE    | 2013-07-01 |    17537 |   -11204 |
| CE    | 2013-08-01 |    23279 |    -4386 |
| CE    | 2013-09-01 |    10354 |    -2682 |
| CE    | 2013-10-01 |     1562 |    -7812 |
| CE    | 2013-11-01 |     3057 |    -3179 |
| CE    | 2013-12-01 |    14747 |    -7403 |
| CE    | 2014-01-01 |     6650 |    -6107 |
| CE    | 2014-02-01 |    12060 |   -16329 |
| CE    | 2014-03-01 |    27558 |    -4750 |
| CE    | 2014-04-01 |     9191 |   -12400 |
| CE    | 2014-05-01 |     6101 |    -2897 |
| CE    | 2014-06-01 |     8788 |   -15575 |
| CE    | 2014-07-01 |    24993 |   -13493 |
| CE    | 2014-08-01 |     1713 |    -2349 |
| CE    | 2014-09-01 |     1844 |    -2002 |
| CE    | 2014-10-01 |     1265 |    -1649 |
| CE    | 2014-11-01 |     1679 |    -3897 |
| CE    | 2014-12-01 |     1377 |    -2473 |
| CE    | 2015-01-01 |      722 |    -1932 |
| CE    | 2015-02-01 |      886 |    -2622 |
| CE    | 2015-03-01 |      804 |   -19769 |
| CE    | 2015-04-01 |     1208 |    -1700 |
| CE    | 2015-05-01 |      649 |    -6294 |
| CE    | 2015-06-01 |     1679 |    -3516 |
| CE    | 2015-07-01 |     4341 |    -4200 |
| CE    | 2015-08-01 |     1464 |   -15478 |
